Alias	Latitud 	Longitud	Altitud	Estacion (70)
ACO	19.635501	-98.912003	2198	Acolman
AJM	19.272161	-99.207744	2548	Ajusco Medio
AJU	19.154286	-99.162611	2942	Ajusco
ARA	19.470218	-99.074549	2200	Aragon
ATI	19.576963	-99.254133	2341	Atizapan
AZC	19.487728	-99.198657	2279	Azcapotzalco
BJU	19.370464	-99.159596	2249	Benito Juarez
CAM	19.468404	-99.169794	2233	Camarones
CCA	19.326111	-99.176111	2294	Centro de Ciencias de la Atmosfera
CES	19.334731	-99.074678	2219	Cerro de la Estrella
CFE	19.414393	-99.194279	2287	Museo Tecnologico de la CFE
CHO	19.266948	-98.886088	2253	Chalco
COR	19.265346	-99.02604	2242	CORENA
COY	19.350258	-99.157101	2260	Coyoacan
CUA	19.365313	-99.291705	2704	Cuajimalpa
CUI	19.469859	-99.165849	2255	Cuitlahuac
CUT	19.722186	-99.198602	2263	Cuautitlan
DIC	19.298819	-99.185774	2305	Diconsa
EAJ	19.271222	-99.203971	2584	Ecoguardas Ajusco
EDL	19.313357	-99.310635	2980	Exconv. Desierto Leones
FAC	19.482473	-99.243524	2299	FES Acatlan
FAN	19.299126	-99.17492	2279	Felipe Angeles
FAR	19.473692	-99.046176	2230	FES Aragon
GAM	19.4827	-99.094517	2227	Gustavo A. Madero
HAN	19.420518	-99.083623	2235	Hangares
HGM	19.411617	-99.152207	2234	Hospital General de Mexico
IBM	19.443319	-99.21536	2314	Legaria
IMP	19.487561	-99.147294	2250	Inst. Mexicano del Petroleo
INN	19.291968	-99.38052	3082	Investigaciones Nucleares
IZT	19.384413	-99.117641	2238	Iztacalco
LAA	19.483781	-99.147312	2255	Lab. de Analisis Ambiental
LAG	19.44242	-99.135183	2223	Lagunilla
LLA	19.578792	-99.039644	2230	Los Laureles
LOM	19.403	-99.242062	2434	Lomas
LPR	19.534727	-99.11772	2302	La Presa
LVI	19.46789	-99.117749	2228	La Villa
MCM	19.429071	-99.131924	2237	Museo de la Cd. de Mexico
MER	19.42461	-99.119594	2245	Merced
MGH	19.40405	-99.20266	2327	Miguel Hidalgo
MIN	19.42144	-99.162885	2231	Metro Insurgentes
MON	19.460415	-98.902853	2252	Montecillo
MPA	19.1769	-98.990189	2594	Milpa Alta
NET	19.42115	-99.026119	2230	Netzahualcoyotl
NEZ	19.393734	-99.028212	2235	Nezahualcoyotl
PED	19.325146	-99.204136	2326	Pedregal
PER	19.38286	-98.991858	2237	La Perla
PLA	19.365869	-99.200109	2345	Plateros
POT	19.376494	-99.145766	2237	Portales
SAC	19.34561	-99.009381	2293	Santiago Acahualtepec
SAG	19.532968	-99.030324	2241	San Agustin
SFE	19.357357	-99.262865	2599	Santa FE
SHA	19.446203	-99.207868	2272	Secretaria de Hacienda
SJA	19.452592	-99.086095	2258	San Juan Aragon
SNT	19.250385	-99.256462	2946	San Nicolas Totolapan
SUR	19.31448	-99.149994	2279	Santa Ursula
TAC	19.453907	-99.202455	2275	Tacuba
TAH	19.246459	-99.010564	2297	Tlahuac
TAX	19.335689	-99.123204	2242	Taxquena
TEC	19.487227	-99.114229	2265	Cerro del Tepeyac
TLA	19.529077	-99.204597	2311	Tlalnepantla
TLI	19.602542	-99.177173	2313	Tultitlan
TPN	19.257041	-99.184177	2522	Tlalpan
UAX	19.304441	-99.103629	2246	UAM Xochimilco
UIZ	19.360794	-99.07388	2221	UAM Iztapalapa
UNM	19.482238	-99.147137	2240	Unidad Movil
VAL	19.522437	-99.165702	2248	Vallejo
VIF	19.658223	-99.09659	2242	Villa de las Flores
XAL	19.525995	-99.0824	2160	Xalostoc
XCH	19.267066	-99.118252	2243	Xochimilco
PAR	19.1540814	-99.1363392	2942	Ajusco (Antes Parres-PAR)
